0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575,0.064575
0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723,0.11723
0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219,0.087219
0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424,0.006424
0.042496,1.3358,0.085653,0.34072,0.021561,0.35991,0.067484,0.59696,0.31045,0.43422,0.099279,0.080738,0.114,0.07361,0.10109,0.086246,0.053169,0.020816,0.053164,0.0011901,0.051726,0.054193
0.0368,1.3851,0.078352,0.54847,0.088582,0.45468,0.052701,0.42539,0.57048,0.62446,0.28293,0.018612,0.45233,0.038722,0.17793,0.028315,0.018047,0.042326,0.023441,0.0016766,0.061776,0.015321
1.1332,0.89216,0.33792,0.67768,1.0432,0.5472,0.62247,0.33451,0.14597,0.097426,0.019948,0.011785,0.025383,0.022097,0.022583,0.041868,0.032011,0.0084012,0.0078387,0.0049506,0.007095,0.0055804
1.7845,1.2304,0.60532,1.0229,1.4095,1.1965,0.98118,0.53059,0.18896,0.21911,0.035582,0.016056,0.024865,0.029732,0.025448,0.054199,0.023837,0.0029216,0.0070224,0.003833,0.0090053,0.0024712
2.1815,1.6963,0.77422,1.4038,1.676,1.6111,1.0009,0.66187,0.29027,0.31015,0.051045,0.041442,0.065628,0.015023,0.025662,0.12301,0.043329,0.012735,0.0038425,0.0068671,0.010423,0.0027045
2.244,1.8287,0.77149,1.7214,2.1429,2.1694,1.1156,0.88927,0.41155,0.44535,0.047936,0.11597,0.11722,0.069058,0.10684,0.28069,0.16527,0.014935,0.011866,0.01804,0.007516,0.0030401
