0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688,0.37688
0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036,0.3036
0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359,0.02359
0.35457,0.42835,0.47307,0.76703,0.52559,0.31216,0.033283,0.040493,0.043528,0.012085,0.011872,0.016489,0.0092404,0.003393,0.0067137,0.0046235,0.00089689,0.0024232,0.0012604,0.0044278
0.44264,0.63499,0.79684,1.0249,0.79216,0.35908,0.05061,0.049465,0.087283,0.022625,0.0239,0.0060408,0.010082,0.037447,0.036147,0.012362,0.0044308,0.0046179,0.004839,0.0091926
0.54889,0.85668,0.9934,1.1836,1.0668,0.53212,0.014685,0.085675,0.084929,0.012079,0.015171,0.024286,0.010498,0.031719,0.05036,0.014713,0.0097787,0.006771,0.0048257,0.0094845
0.59794,1.0539,1.1137,1.2761,1.1243,0.72212,0.067443,0.18432,0.15214,0.04782,0.041059,0.022542,0.022275,0.037893,0.07751,0.029017,0.016008,0.013466,0.011655,0.013513
0.79073,1.3037,1.2992,1.4022,1.3559,0.89102,0.15655,0.29578,0.24451,0.070406,0.081149,0.019471,0.026116,0.014769,0.13465,0.034093,0.027038,0.013011,0.0056946,0.014159
1.009,1.5239,1.4222,1.3817,1.4875,1.04,0.25733,0.38813,0.24882,0.054808,0.082281,0.044557,0.021973,0.023645,0.14828,0.060791,0.032584,0.013019,0.017543,0.0042757
1.1453,1.7366,1.6633,1.4057,1.5969,1.2552,0.41492,0.50385,0.28207,0.070304,0.096563,0.055103,0.026571,0.025337,0.21593,0.1033,0.045796,0.027643,0.034621,0.0083642
1.2986,1.9507,1.9813,1.4698,1.627,1.4853,0.54945,0.58569,0.30561,0.087865,0.10701,0.072169,0.04338,0.031988,0.21477,0.11721,0.036564,0.036705,0.038678,0.011193
