1.0316,0.68862,0.17899,0.070681,0.063362,0.022815,0.032944,0.020734,0.023334,0.0080911,0.0075624,0.013562,0.008463,0.0087635,0.0085376,0.0095102,0.009756,0.0073857,0.0069324,0.0049972,0.0065184,0.0073943,0.007339,0.0073582,0.0045832,0.0040382,0.0048458,0.0041867,0.0050782,0.0052833,0.0048586,0.0045743,0.0040686,0.003118
1.8305,1.294,0.052237,0.26566,0.031453,0.043576,0.029845,0.027255,0.016582,0.010319,0.0088115,0.010664,0.0076484,0.0056059,0.0040755,0.004438,0.0056383,0.0058927,0.0067081,0.002306,0.0035012,0.0046362,0.0037428,0.0039274,0.0055183,0.0062675,0.0026262,0.0034115,0.0026842,0.0022938,0.0021863,0.0014147,0.0012434,0.0016416
2.836,1.9164,0.08781,0.40987,0.083456,0.057713,0.024388,0.023904,0.0058545,0.017042,0.00346,0.012462,0.0031757,0.0066903,0.0014858,0.0035757,0.005358,0.0091231,0.0061017,0.003072,0.0027532,0.0008325,0.003617,0.0027335,0.0017629,0.0045217,0.0013599,0.0035876,0.0020738,0.00044573,0.0015743,0.0016301,0.0013516,0.0031681
3.8011,2.5209,0.31475,0.51856,0.15869,0.081523,0.060435,0.023719,0.018391,0.012923,0.0028006,0.0094536,0.0055743,0.010234,0.0054933,0.0082311,0.0048447,0.0062963,0.0062805,0.0038924,0.0056802,0.0026487,0.0072869,0.0011332,0.0029952,0.0058339,0.0040433,0.0036225,0.0043538,0.0024321,0.0029337,0.0020841,0.0025439,0.0039868
4.7416,2.7615,0.60262,0.65599,0.14955,0.14952,0.037568,0.066518,0.020836,0.018336,0.0098736,0.01193,0.0056612,0.014126,0.0047042,0.0085273,0.012799,0.0026111,0.0070078,0.0036748,0.002094,0.0072728,0.0032128,0.0034141,0.010328,0.0097095,0.0049396,0.010062,0.0030902,0.0057656,0.0043474,0.0012268,0.0052861,0.0048727
5.6719,3.1805,0.80677,0.48551,0.30647,0.18278,0.023135,0.076094,0.044781,0.034985,0.0066565,0.020182,0.010395,0.011878,0.0072783,0.0082524,0.0066283,0.01064,0.0088049,0.0060713,0.0091932,0.0067538,0.0049539,0.0074295,0.0067079,0.0012495,0.0097161,0.0028068,0.0025675,0.0068782,0.0066159,0.003393,0.0024409,0.0054017
6.5106,3.4411,1.2781,0.26335,0.32289,0.15828,0.076769,0.074679,0.044489,0.042851,0.020181,0.010343,0.013061,0.008444,0.0091278,0.0079743,0.0023147,0.0083578,0.0076797,0.00612,0.010548,0.0033094,0.0057596,0.0070208,0.0054182,0.0042348,0.0019289,0.0075673,0.003172,0.0029336,0.0040917,0.0040656,0.003019,0.0023976
7.2028,3.6284,1.973,0.078312,0.27311,0.17046,0.065291,0.062654,0.058757,0.017537,0.019095,0.016084,0.0066562,0.0088552,0.0042714,0.0027327,0.0057164,0.0052481,0.0051302,0.0014465,0.0031717,0.0039653,0.0070435,0.0036988,0.005688,0.0031163,0.0055442,0.003303,0.00119,0.0038698,0.00065112,0.0010948,0.00036036,0.00099211
7.7594,4.0239,2.7223,0.42265,0.19147,0.15622,0.053214,0.062079,0.052381,0.0083901,0.020874,0.018454,0.0079062,0.0090536,0.00081495,0.0079076,0.0028693,0.0037398,0.0023515,0.0053006,0.0024548,0.01037,0.0025123,0.0052215,0.0059096,0.0026247,0.0045693,0.0016558,0.00058944,0.0046451,0.00054786,0.0011366,0.0016157,0.0015774
8.1855,4.6321,3.4515,0.76621,0.094593,0.14455,0.023433,0.059504,0.034722,0.011503,0.025465,0.010824,0.005701,0.0056912,0.0060123,0.0092798,0.0046928,0.0067252,0.0063826,0.0045527,0.0032615,0.0098884,0.0079509,0.0044755,0.0072406,0.0026788,0.0020655,0.0027506,0.0015813,0.00074492,0.0027225,0.002349,0.0020931,0.0017755
