1.2328,0.88394,0.60373,0.061034,0.023442,0.026847,0.018827,0.021049,0.015042,0.012922,0.015034,0.010968,0.012723,0.00754,0.011506,0.0071792,0.0075412,0.0086243,0.0081264,0.0062521,0.006624,0.0034444,0.00482,0.0048382,0.0067148,0.0031127,0.0048215,0.0039555,0.0039124,0.0044239,0.0032137,0.0036683,0.0054641,0.003878,0.003354,0.0039526,0.003727,0.00096589,0.0033927,0.0041072,0.0024565,0.0031156,0.0032622,0.0036734,0.0030016,0.0031984,0.0027229,0.0032592,0.001116,0.0026586,0.0036247
2.4182,1.5066,0.5867,0.16386,0.056786,0.052207,0.036461,0.028792,0.0051823,0.016412,0.0098915,0.0052917,0.0068473,0.0027649,0.0081268,0.004685,0.0022498,0.0033282,0.0021437,0.0048799,0.0044636,0.0024043,0.00017783,0.00045352,0.0039746,0.0020916,0.00086868,0.00017056,0.00023404,0.00087232,0.00082164,0.00251,0.0014225,0.0015028,0.00099124,0.0017249,0.0013287,0.00085316,0.0016962,0.00095331,0.00031852,0.0020753,0.0017249,0.00043602,0.0015974,0.0010674,0.000264,0.0011704,0.00076183,0.00063055,0.00088858
3.5106,3.6978,1.8181,0.38913,0.053571,0.035244,0.1162,0.030005,0.035689,0.022831,0.0016645,0.0047395,0.0099376,0.0056443,0.0012043,0.0030846,0.0063906,0.0027485,0.0038036,0.00070826,0.0022798,0.0033409,0.0025482,0.0027751,0.0013254,0.0028637,0.0038814,0.0012125,0.0032465,0.004494,0.0036037,0.0029532,0.0028207,0.00060718,0.0030062,0.0029046,0.0020169,0.0030777,0.0019663,0.0028157,0.0015163,0.0035937,0.0011815,0.00054207,0.0020461,0.0010626,0.00048926,0.00060517,0.001353,0.0010009,9.9177e-05
5.0432,5.0836,2.4433,1.3214,0.52167,0.29363,0.066765,0.047819,0.0093356,0.0069999,0.019217,0.017657,0.0096249,0.011223,0.01452,0.0046063,0.010736,0.0070986,0.0046893,0.0062301,0.0060233,0.0083256,0.0044086,0.0067797,0.0060314,0.0050365,0.0074821,0.0018019,0.0064673,0.007773,0.0033186,0.0052708,0.0048658,0.0037613,0.0039031,0.0060428,0.0047672,0.0051102,0.0065012,0.0056783,0.0017789,0.0028739,0.0042832,0.0035081,0.0012851,0.0037688,0.0021476,0.0037363,0.0025188,0.0013234,0.00375
6.2515,7.5052,4.1563,2.2003,0.70566,0.43227,0.09755,0.1019,0.03326,0.012395,0.013486,0.012003,0.0046484,0.013915,0.011351,0.0076129,0.011409,0.0058401,0.0068748,0.0080478,0.0083326,0.0039902,0.0040364,0.0056354,0.0059372,0.0045658,0.0055503,0.0053186,0.0041449,0.0015104,0.0037436,0.0028167,0.0047982,0.0041925,0.0036977,0.0038759,0.0042439,0.0045546,0.002157,0.0027311,0.0029167,0.0034593,0.0025449,0.003356,0.0010315,0.0047504,0.0034877,0.0016564,0.00241,0.0037296,0.0023013
7.4586,9.4402,5.1839,2.7109,0.99783,0.62422,0.21131,0.12452,0.065677,0.041971,0.018309,0.011209,0.021527,0.0057226,0.011361,0.0049577,0.0072513,0.011147,0.010143,0.0043435,0.0048613,0.0061841,0.0057655,0.0013759,0.0062627,0.0067605,0.0039006,0.0026687,0.0048288,0.0045174,0.0031395,0.0038042,0.0039705,0.0031286,0.0044084,0.00016649,0.0032039,0.002445,0.0053059,0.0049459,0.0053214,0.00035482,0.0036336,0.0024763,0.001792,0.0036435,0.0023109,0.0024763,0.002392,0.0015712,0.0027064
8.985,11.589,6.7402,4.396,1.7023,1.1352,0.35366,0.22823,0.12716,0.039279,0.029166,0.0018108,0.022296,0.0077847,0.011965,0.0026446,0.0033647,0.0039625,0.0068754,0.0056781,0.0035614,0.0027282,0.0033626,0.0028817,0.0040986,0.0028171,0.0018501,0.0037783,0.0061748,0.003265,0.0020573,0.0024172,0.0027115,0.0042687,0.0020059,0.0018644,0.003063,0.0044258,0.004377,0.0024867,0.0034247,0.0017237,0.003765,0.0025926,0.0015609,0.00084474,0.0033066,0.0030107,0.0011994,0.0011142,0.0019794
9.8104,13.401,7.3411,4.0526,1.5097,0.97854,0.377,0.17011,0.066492,0.046275,0.038586,0.039937,0.019614,0.013834,0.014412,0.017935,0.014099,0.010527,0.015534,0.016013,0.012555,0.0083011,0.0069413,0.010801,0.010493,0.0094414,0.0060949,0.0095847,0.0068631,0.0068588,0.0085173,0.0079551,0.0081943,0.0072617,0.0055435,0.0079194,0.0077127,0.0056721,0.007107,0.0073253,0.011291,0.0066228,0.0071231,0.0059276,0.0064388,0.0057823,0.0066351,0.0053252,0.0063592,0.0048754,0.0055283
11.21,15.49,9.5204,6.9249,3.0536,2.2702,0.83598,0.42938,0.22945,0.1247,0.12127,0.099403,0.055938,0.065979,0.030991,0.035182,0.042289,0.035004,0.030695,0.036279,0.027927,0.020959,0.032002,0.034067,0.020705,0.021932,0.02767,0.024949,0.018815,0.023652,0.021456,0.014893,0.023781,0.020513,0.017977,0.016208,0.021413,0.018378,0.016416,0.016334,0.016591,0.014431,0.018316,0.017841,0.01178,0.011584,0.016232,0.014961,0.011383,0.015679,0.01438
11.845,17.377,10.564,7.1276,2.8161,1.9757,0.85073,0.53604,0.3236,0.12875,0.031139,0.032015,0.081014,0.076699,0.043584,0.02939,0.054977,0.062248,0.046122,0.023324,0.036819,0.052741,0.048428,0.027147,0.020487,0.036388,0.042732,0.026316,0.014353,0.025614,0.036471,0.030534,0.015677,0.01736,0.029795,0.034386,0.021525,0.012301,0.024067,0.029512,0.02334,0.010542,0.016789,0.025977,0.026253,0.016606,0.011609,0.020681,0.023941,0.018747,0.0072562
